Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
Crear_usuario,,,,2023-07-27 14:34:35,2023-07-27 14:36:01,"1m - 26,211s",ERROR
,,,,,,,
Test Cases/ingreso para prueba,,,,2023-07-27 14:34:35,2023-07-27 14:35:49,"1m - 13,994s",PASSED
"startApplication(""C:\Users\Testing\Desktop\katalon\Version QA ACTUALIZADA 25-07-23\app-qa.apk"", true)",,,,2023-07-27 14:34:36,2023-07-27 14:35:24,"47,793s",PASSED
"tap(findTestObject(""Object Repository/Parte1/ingreso solo prueba/android.widget.TextView - Omitir""), 0)",,,,2023-07-27 14:35:24,2023-07-27 14:35:25,"1,477s",PASSED
"tap(findTestObject(""Object Repository/Parte1/ingreso solo prueba/android.widget.Button - Crear Cuenta""), 0)",,,,2023-07-27 14:35:25,2023-07-27 14:35:26,"1,158s",PASSED
"tap(findTestObject(""Object Repository/Parte1/ingreso solo prueba/android.widget.Button - Enviar cdigo de registro""), 0)",,,,2023-07-27 14:35:26,2023-07-27 14:35:28,"1,651s",PASSED
"tap(findTestObject(""Object Repository/Parte1/ingreso solo prueba/android.widget.Button - Continuar""), 0)",,,,2023-07-27 14:35:28,2023-07-27 14:35:35,"7,202s",PASSED
"setText(findTestObject(""Object Repository/Parte1/ingreso solo prueba/android.widget.EditText - Apodo""), ""libre024"", 0)",,,,2023-07-27 14:35:35,2023-07-27 14:35:39,"4,162s",PASSED
"tap(findTestObject(""Object Repository/Parte1/ingreso solo prueba/android.widget.Button - Siguiente""), 0)",,,,2023-07-27 14:35:39,2023-07-27 14:35:41,"1,163s",PASSED
"setText(findTestObject(""Object Repository/Parte1/ingreso solo prueba/android.widget.EditText - Pin de Acceso""), ""0000"", 0)",,,,2023-07-27 14:35:41,2023-07-27 14:35:44,"3,250s",PASSED
"setText(findTestObject(""Object Repository/Parte1/ingreso solo prueba/android.widget.EditText - Confirmar nuevo pin de acceso""), ""0000"", 0)",,,,2023-07-27 14:35:44,2023-07-27 14:35:46,"2,642s",PASSED
"tap(findTestObject(""Object Repository/Parte1/ingreso solo prueba/android.widget.Button - Crear Cuenta (1)""), 0)",,,,2023-07-27 14:35:46,2023-07-27 14:35:47,"0,972s",PASSED
"delay(2, CONTINUE_ON_FAILURE)",,,,2023-07-27 14:35:47,2023-07-27 14:35:49,"2,031s",PASSED
,,,,,,,
Test Cases/Parte2/Chats/CPN214,,,,2023-07-27 14:35:49,2023-07-27 14:36:01,"11,867s",ERROR
"tap(findTestObject(""Object Repository/Parte2/Ajustes cuenta/Chats/CPN214/android.widget.FrameLayout""), 0)",,,,2023-07-27 14:35:50,2023-07-27 14:35:51,"1,269s",PASSED
"tap(findTestObject(""Object Repository/Parte2/Ajustes cuenta/Chats/CPN214/android.widget.LinearLayout""), 0)",,,,2023-07-27 14:35:51,2023-07-27 14:35:52,"1,420s",PASSED
"tap(findTestObject(""Object Repository/Parte2/Ajustes cuenta/Chats/CPN214/android.widget.LinearLayout (1)""), 0)",,,,2023-07-27 14:35:52,2023-07-27 14:35:55,"2,398s",PASSED
"tap(findTestObject(""Object Repository/Parte2/Ajustes cuenta/Chats/CPN214/android.widget.LinearLayout (2)""), 0)",,,,2023-07-27 14:35:55,2023-07-27 14:35:56,"0,967s",PASSED
"delay(2, CONTINUE_ON_FAILURE)",,,,2023-07-27 14:35:56,2023-07-27 14:35:58,"2,010s",PASSED
"tap(findTestObject(""Object Repository/Parte2/Ajustes cuenta/Chats/CPN214/android.widget.ImageButton""), 0)",,,,2023-07-27 14:35:58,2023-07-27 14:35:58,"0,322s",PASSED
"delay(3, CONTINUE_ON_FAILURE)",,,,2023-07-27 14:35:58,2023-07-27 14:36:01,"3,016s",PASSED
scrollToText(ancho),,,,2023-07-27 14:36:01,2023-07-27 14:36:01,"0,063s",ERROR
